sample_idx,event_name,split,input_start_utc,target_end_utc,target_mean_frp,target_max_frp,in_T0
28,antalya_2021,train,2021-07-30T04:00:00.000000000,2021-08-01T15:00:00.000000000,6199.27490234375,11048.900390625,True
29,antalya_2021,train,2021-07-30T05:00:00.000000000,2021-08-01T16:00:00.000000000,6524.591796875,11048.900390625,True
30,antalya_2021,train,2021-07-30T06:00:00.000000000,2021-08-01T17:00:00.000000000,6679.716796875,11048.900390625,True
31,antalya_2021,train,2021-07-30T07:00:00.000000000,2021-08-01T18:00:00.000000000,6739.85009765625,11048.900390625,True
32,antalya_2021,train,2021-07-30T08:00:00.000000000,2021-08-01T19:00:00.000000000,6470.96728515625,11048.900390625,True
33,antalya_2021,train,2021-07-30T09:00:00.000000000,2021-08-01T20:00:00.000000000,5896.892578125,11048.900390625,True
34,antalya_2021,train,2021-07-30T10:00:00.000000000,2021-08-01T21:00:00.000000000,5308.03369140625,11048.900390625,True
35,antalya_2021,train,2021-07-30T11:00:00.000000000,2021-08-01T22:00:00.000000000,4881.84130859375,11048.900390625,True
36,antalya_2021,train,2021-07-30T12:00:00.000000000,2021-08-01T23:00:00.000000000,4311.466796875,11048.900390625,True
37,antalya_2021,train,2021-07-30T13:00:00.000000000,2021-08-02T00:00:00.000000000,3805.8916015625,11048.900390625,True
38,antalya_2021,train,2021-07-30T14:00:00.000000000,2021-08-02T01:00:00.000000000,3166.633056640625,11048.900390625,True
39,antalya_2021,train,2021-07-30T15:00:00.000000000,2021-08-02T02:00:00.000000000,2523.625244140625,7385.0,True
40,antalya_2021,train,2021-07-30T16:00:00.000000000,2021-08-02T03:00:00.000000000,2464.141845703125,6671.2001953125,True
41,antalya_2021,train,2021-07-30T17:00:00.000000000,2021-08-02T04:00:00.000000000,2492.591552734375,6671.2001953125,True
42,antalya_2021,train,2021-07-30T18:00:00.000000000,2021-08-02T05:00:00.000000000,2598.7666015625,6671.2001953125,True
43,antalya_2021,train,2021-07-30T19:00:00.000000000,2021-08-02T06:00:00.000000000,3022.658203125,6671.2001953125,True
44,antalya_2021,train,2021-07-30T20:00:00.000000000,2021-08-02T07:00:00.000000000,3683.925048828125,8989.400390625,True
45,antalya_2021,train,2021-07-30T21:00:00.000000000,2021-08-02T08:00:00.000000000,4710.2998046875,13386.2001953125,True
46,antalya_2021,train,2021-07-30T22:00:00.000000000,2021-08-02T09:00:00.000000000,5032.17529296875,13386.2001953125,True
47,antalya_2021,train,2021-07-30T23:00:00.000000000,2021-08-02T10:00:00.000000000,5545.11669921875,13386.2001953125,True
48,antalya_2021,train,2021-07-31T00:00:00.000000000,2021-08-02T11:00:00.000000000,6498.466796875,13386.2001953125,True
49,antalya_2021,train,2021-07-31T01:00:00.000000000,2021-08-02T12:00:00.000000000,7520.85009765625,14405.0,True
50,antalya_2021,train,2021-07-31T02:00:00.000000000,2021-08-02T13:00:00.000000000,8073.20068359375,14405.0,True
51,antalya_2021,train,2021-07-31T03:00:00.000000000,2021-08-02T14:00:00.000000000,8933.8583984375,14405.0,True
52,antalya_2021,train,2021-07-31T04:00:00.000000000,2021-08-02T15:00:00.000000000,10198.1748046875,21843.0,True
53,antalya_2021,train,2021-07-31T05:00:00.000000000,2021-08-02T16:00:00.000000000,10961.1923828125,21843.0,True
54,antalya_2021,train,2021-07-31T06:00:00.000000000,2021-08-02T17:00:00.000000000,11732.7744140625,21843.0,True
55,antalya_2021,train,2021-07-31T07:00:00.000000000,2021-08-02T18:00:00.000000000,11969.0849609375,21843.0,True
56,antalya_2021,train,2021-07-31T08:00:00.000000000,2021-08-02T19:00:00.000000000,12049.890625,21843.0,True
57,antalya_2021,train,2021-07-31T09:00:00.000000000,2021-08-02T20:00:00.000000000,11562.44140625,21843.0,True
58,antalya_2021,train,2021-07-31T10:00:00.000000000,2021-08-02T21:00:00.000000000,11558.7158203125,21843.0,True
59,antalya_2021,train,2021-07-31T11:00:00.000000000,2021-08-02T22:00:00.000000000,11439.9091796875,21843.0,True
60,antalya_2021,train,2021-07-31T12:00:00.000000000,2021-08-02T23:00:00.000000000,11093.4736328125,21843.0,True
61,antalya_2021,train,2021-07-31T13:00:00.000000000,2021-08-03T00:00:00.000000000,10902.4423828125,21843.0,True
62,antalya_2021,train,2021-07-31T14:00:00.000000000,2021-08-03T01:00:00.000000000,11281.30859375,21843.0,True
63,antalya_2021,train,2021-07-31T15:00:00.000000000,2021-08-03T02:00:00.000000000,11494.7587890625,21843.0,True
64,antalya_2021,train,2021-07-31T16:00:00.000000000,2021-08-03T03:00:00.000000000,10856.5,16222.099609375,True
65,antalya_2021,train,2021-07-31T17:00:00.000000000,2021-08-03T04:00:00.000000000,10945.375,16222.099609375,True
66,antalya_2021,train,2021-07-31T18:00:00.000000000,2021-08-03T05:00:00.000000000,10413.3662109375,16222.099609375,True
67,antalya_2021,train,2021-07-31T19:00:00.000000000,2021-08-03T06:00:00.000000000,10064.3154296875,16222.099609375,True
68,antalya_2021,train,2021-07-31T20:00:00.000000000,2021-08-03T07:00:00.000000000,10177.1328125,16222.099609375,True
69,antalya_2021,train,2021-07-31T21:00:00.000000000,2021-08-03T08:00:00.000000000,10260.2998046875,16222.099609375,True
70,antalya_2021,train,2021-07-31T22:00:00.000000000,2021-08-03T09:00:00.000000000,10385.0908203125,16222.099609375,True
71,antalya_2021,train,2021-07-31T23:00:00.000000000,2021-08-03T10:00:00.000000000,10503.2080078125,16222.099609375,True
72,antalya_2021,train,2021-08-01T00:00:00.000000000,2021-08-03T11:00:00.000000000,10080.2666015625,16222.099609375,True
73,antalya_2021,train,2021-08-01T01:00:00.000000000,2021-08-03T12:00:00.000000000,9596.9423828125,16222.099609375,True
74,antalya_2021,train,2021-08-01T02:00:00.000000000,2021-08-03T13:00:00.000000000,9246.6669921875,16222.099609375,True
75,antalya_2021,train,2021-08-01T03:00:00.000000000,2021-08-03T14:00:00.000000000,8466.7255859375,14945.2998046875,True
76,antalya_2021,train,2021-08-01T04:00:00.000000000,2021-08-03T15:00:00.000000000,7782.10009765625,14945.2998046875,True
77,antalya_2021,train,2021-08-01T05:00:00.000000000,2021-08-03T16:00:00.000000000,6904.30029296875,11312.900390625,True
78,antalya_2021,train,2021-08-01T06:00:00.000000000,2021-08-03T17:00:00.000000000,6826.783203125,11312.900390625,True
79,antalya_2021,train,2021-08-01T07:00:00.000000000,2021-08-03T18:00:00.000000000,6868.025390625,11312.900390625,True
80,antalya_2021,train,2021-08-01T08:00:00.000000000,2021-08-03T19:00:00.000000000,6486.974609375,9807.2001953125,True
81,antalya_2021,train,2021-08-01T09:00:00.000000000,2021-08-03T20:00:00.000000000,6137.591796875,9807.2001953125,True
82,antalya_2021,train,2021-08-01T10:00:00.000000000,2021-08-03T21:00:00.000000000,5803.51708984375,9807.2001953125,True
83,antalya_2021,train,2021-08-01T11:00:00.000000000,2021-08-03T22:00:00.000000000,5464.01611328125,9807.2001953125,True
84,antalya_2021,train,2021-08-01T12:00:00.000000000,2021-08-03T23:00:00.000000000,5598.658203125,9807.2001953125,True
85,antalya_2021,train,2021-08-01T13:00:00.000000000,2021-08-04T00:00:00.000000000,5440.7666015625,9807.2001953125,True
86,antalya_2021,train,2021-08-01T14:00:00.000000000,2021-08-04T01:00:00.000000000,4857.625,6862.7998046875,True
87,antalya_2021,train,2021-08-01T15:00:00.000000000,2021-08-04T02:00:00.000000000,4608.86669921875,6740.2998046875,True
88,antalya_2021,train,2021-08-01T16:00:00.000000000,2021-08-04T03:00:00.000000000,4360.091796875,6740.2998046875,True
89,antalya_2021,train,2021-08-01T17:00:00.000000000,2021-08-04T04:00:00.000000000,4108.49169921875,6740.2998046875,True
90,antalya_2021,train,2021-08-01T18:00:00.000000000,2021-08-04T05:00:00.000000000,3704.824951171875,6740.2998046875,True
91,antalya_2021,train,2021-08-01T19:00:00.000000000,2021-08-04T06:00:00.000000000,3264.958251953125,6740.2998046875,True
92,antalya_2021,train,2021-08-01T20:00:00.000000000,2021-08-04T07:00:00.000000000,2803.658447265625,5156.10009765625,True
93,antalya_2021,train,2021-08-01T21:00:00.000000000,2021-08-04T08:00:00.000000000,2463.45849609375,5156.10009765625,True
94,antalya_2021,train,2021-08-01T22:00:00.000000000,2021-08-04T09:00:00.000000000,2195.650146484375,5156.10009765625,True
95,antalya_2021,train,2021-08-01T23:00:00.000000000,2021-08-04T10:00:00.000000000,1966.3499755859375,5156.10009765625,True
96,antalya_2021,train,2021-08-02T00:00:00.000000000,2021-08-04T11:00:00.000000000,1731.02490234375,4418.0,True
97,antalya_2021,train,2021-08-02T01:00:00.000000000,2021-08-04T12:00:00.000000000,1475.716796875,3877.699951171875,True
98,antalya_2021,train,2021-08-02T02:00:00.000000000,2021-08-04T13:00:00.000000000,1284.8914794921875,3877.699951171875,True
99,antalya_2021,train,2021-08-02T03:00:00.000000000,2021-08-04T14:00:00.000000000,1129.324951171875,2983.10009765625,True
100,antalya_2021,train,2021-08-02T04:00:00.000000000,2021-08-04T15:00:00.000000000,1002.933349609375,2332.199951171875,True
101,antalya_2021,train,2021-08-02T05:00:00.000000000,2021-08-04T16:00:00.000000000,912.683349609375,2332.199951171875,True
102,antalya_2021,train,2021-08-02T06:00:00.000000000,2021-08-04T17:00:00.000000000,853.791748046875,2332.199951171875,True
103,antalya_2021,train,2021-08-02T07:00:00.000000000,2021-08-04T18:00:00.000000000,827.61669921875,2332.199951171875,True
104,antalya_2021,train,2021-08-02T08:00:00.000000000,2021-08-04T19:00:00.000000000,742.1500854492188,2332.199951171875,True
105,antalya_2021,train,2021-08-02T09:00:00.000000000,2021-08-04T20:00:00.000000000,725.566650390625,2332.199951171875,True
106,antalya_2021,train,2021-08-02T10:00:00.000000000,2021-08-04T21:00:00.000000000,719.0249633789062,2332.199951171875,True
107,antalya_2021,train,2021-08-02T11:00:00.000000000,2021-08-04T22:00:00.000000000,694.2249145507812,2332.199951171875,True
108,antalya_2021,train,2021-08-02T12:00:00.000000000,2021-08-04T23:00:00.000000000,506.808349609375,2010.9000244140625,True
109,antalya_2021,train,2021-08-02T13:00:00.000000000,2021-08-05T00:00:00.000000000,393.9499816894531,2010.9000244140625,True
110,antalya_2021,train,2021-08-02T14:00:00.000000000,2021-08-05T01:00:00.000000000,350.6500244140625,2010.9000244140625,True
111,antalya_2021,train,2021-08-02T15:00:00.000000000,2021-08-05T02:00:00.000000000,183.0749969482422,1466.4000244140625,True
112,antalya_2021,train,2021-08-02T16:00:00.000000000,2021-08-05T03:00:00.000000000,74.74166870117188,309.5,True
113,antalya_2021,train,2021-08-02T17:00:00.000000000,2021-08-05T04:00:00.000000000,55.22500228881836,179.10000610351562,True
114,antalya_2021,train,2021-08-02T18:00:00.000000000,2021-08-05T05:00:00.000000000,51.33332824707031,179.10000610351562,True
115,antalya_2021,train,2021-08-02T19:00:00.000000000,2021-08-05T06:00:00.000000000,47.06666564941406,179.10000610351562,True
116,antalya_2021,train,2021-08-02T20:00:00.000000000,2021-08-05T07:00:00.000000000,32.141666412353516,166.39999389648438,True
117,antalya_2021,train,2021-08-02T21:00:00.000000000,2021-08-05T08:00:00.000000000,67.25,482.1000061035156,True
118,antalya_2021,train,2021-08-02T22:00:00.000000000,2021-08-05T09:00:00.000000000,100.41666412353516,482.1000061035156,True
119,antalya_2021,train,2021-08-02T23:00:00.000000000,2021-08-05T10:00:00.000000000,100.41666412353516,482.1000061035156,True
120,antalya_2021,train,2021-08-03T00:00:00.000000000,2021-08-05T11:00:00.000000000,93.48333740234375,482.1000061035156,True
121,antalya_2021,train,2021-08-03T01:00:00.000000000,2021-08-05T12:00:00.000000000,93.48333740234375,482.1000061035156,True
122,antalya_2021,train,2021-08-03T02:00:00.000000000,2021-08-05T13:00:00.000000000,93.48332977294922,482.1000061035156,True
123,antalya_2021,train,2021-08-03T03:00:00.000000000,2021-08-05T14:00:00.000000000,93.48332977294922,482.1000061035156,True
124,antalya_2021,train,2021-08-03T04:00:00.000000000,2021-08-05T15:00:00.000000000,79.61666107177734,482.1000061035156,True
125,antalya_2021,train,2021-08-03T05:00:00.000000000,2021-08-05T16:00:00.000000000,79.75833129882812,482.1000061035156,True
126,antalya_2021,train,2021-08-03T06:00:00.000000000,2021-08-05T17:00:00.000000000,79.75833129882812,482.1000061035156,True
127,antalya_2021,train,2021-08-03T07:00:00.000000000,2021-08-05T18:00:00.000000000,79.75833129882812,482.1000061035156,True
128,antalya_2021,train,2021-08-03T08:00:00.000000000,2021-08-05T19:00:00.000000000,79.75833129882812,482.1000061035156,True
129,antalya_2021,train,2021-08-03T09:00:00.000000000,2021-08-05T20:00:00.000000000,39.58333206176758,398.0,True
130,antalya_2021,train,2021-08-03T10:00:00.000000000,2021-08-05T21:00:00.000000000,6.416666507720947,77.0,True
131,antalya_2021,train,2021-08-03T11:00:00.000000000,2021-08-05T22:00:00.000000000,6.416666507720947,77.0,True
132,antalya_2021,train,2021-08-03T12:00:00.000000000,2021-08-05T23:00:00.000000000,6.416666507720947,77.0,True
133,antalya_2021,train,2021-08-03T13:00:00.000000000,2021-08-06T00:00:00.000000000,6.416666507720947,77.0,True
134,antalya_2021,train,2021-08-03T14:00:00.000000000,2021-08-06T01:00:00.000000000,6.416666507720947,77.0,True
135,antalya_2021,train,2021-08-03T15:00:00.000000000,2021-08-06T02:00:00.000000000,6.416666507720947,77.0,True
136,antalya_2021,train,2021-08-03T16:00:00.000000000,2021-08-06T03:00:00.000000000,6.416666507720947,77.0,True
137,antalya_2021,train,2021-08-03T17:00:00.000000000,2021-08-06T04:00:00.000000000,0.0,0.0,True
138,antalya_2021,train,2021-08-03T18:00:00.000000000,2021-08-06T05:00:00.000000000,0.0,0.0,True
139,antalya_2021,train,2021-08-03T19:00:00.000000000,2021-08-06T06:00:00.000000000,0.0,0.0,True
140,antalya_2021,train,2021-08-03T20:00:00.000000000,2021-08-06T07:00:00.000000000,0.0,0.0,True
141,antalya_2021,train,2021-08-03T21:00:00.000000000,2021-08-06T08:00:00.000000000,0.0,0.0,True
142,antalya_2021,train,2021-08-03T22:00:00.000000000,2021-08-06T09:00:00.000000000,0.0,0.0,True
143,antalya_2021,train,2021-08-03T23:00:00.000000000,2021-08-06T10:00:00.000000000,0.0,0.0,True
144,antalya_2021,train,2021-08-04T00:00:00.000000000,2021-08-06T11:00:00.000000000,0.0,0.0,True
145,antalya_2021,train,2021-08-04T01:00:00.000000000,2021-08-06T12:00:00.000000000,0.0,0.0,True
146,antalya_2021,train,2021-08-04T02:00:00.000000000,2021-08-06T13:00:00.000000000,0.0,0.0,True
147,antalya_2021,train,2021-08-04T03:00:00.000000000,2021-08-06T14:00:00.000000000,0.0,0.0,True
148,antalya_2021,train,2021-08-04T04:00:00.000000000,2021-08-06T15:00:00.000000000,0.0,0.0,True
149,antalya_2021,train,2021-08-04T05:00:00.000000000,2021-08-06T16:00:00.000000000,0.0,0.0,True
150,antalya_2021,train,2021-08-04T06:00:00.000000000,2021-08-06T17:00:00.000000000,0.0,0.0,True
151,antalya_2021,train,2021-08-04T07:00:00.000000000,2021-08-06T18:00:00.000000000,0.0,0.0,True
152,antalya_2021,train,2021-08-04T08:00:00.000000000,2021-08-06T19:00:00.000000000,0.0,0.0,True
153,antalya_2021,train,2021-08-04T09:00:00.000000000,2021-08-06T20:00:00.000000000,0.0,0.0,True
154,antalya_2021,train,2021-08-04T10:00:00.000000000,2021-08-06T21:00:00.000000000,0.0,0.0,True
155,antalya_2021,train,2021-08-04T11:00:00.000000000,2021-08-06T22:00:00.000000000,0.0,0.0,True
156,antalya_2021,train,2021-08-04T12:00:00.000000000,2021-08-06T23:00:00.000000000,0.0,0.0,True
157,antalya_2021,train,2021-08-04T13:00:00.000000000,2021-08-07T00:00:00.000000000,0.0,0.0,True
158,antalya_2021,train,2021-08-04T14:00:00.000000000,2021-08-07T01:00:00.000000000,0.0,0.0,True
159,antalya_2021,train,2021-08-04T15:00:00.000000000,2021-08-07T02:00:00.000000000,0.0,0.0,True
160,antalya_2021,train,2021-08-04T16:00:00.000000000,2021-08-07T03:00:00.000000000,0.0,0.0,True
161,antalya_2021,train,2021-08-04T17:00:00.000000000,2021-08-07T04:00:00.000000000,0.0,0.0,True
162,antalya_2021,train,2021-08-04T18:00:00.000000000,2021-08-07T05:00:00.000000000,0.0,0.0,True
163,antalya_2021,train,2021-08-04T19:00:00.000000000,2021-08-07T06:00:00.000000000,0.0,0.0,True
164,antalya_2021,train,2021-08-04T20:00:00.000000000,2021-08-07T07:00:00.000000000,0.0,0.0,True
165,antalya_2021,train,2021-08-04T21:00:00.000000000,2021-08-07T08:00:00.000000000,0.0,0.0,True
166,antalya_2021,train,2021-08-04T22:00:00.000000000,2021-08-07T09:00:00.000000000,0.0,0.0,True
167,antalya_2021,train,2021-08-04T23:00:00.000000000,2021-08-07T10:00:00.000000000,0.0,0.0,True
168,antalya_2021,train,2021-08-05T00:00:00.000000000,2021-08-07T11:00:00.000000000,0.0,0.0,True
169,antalya_2021,train,2021-08-05T01:00:00.000000000,2021-08-07T12:00:00.000000000,0.0,0.0,True
170,antalya_2021,train,2021-08-05T02:00:00.000000000,2021-08-07T13:00:00.000000000,0.0,0.0,True
171,antalya_2021,train,2021-08-05T03:00:00.000000000,2021-08-07T14:00:00.000000000,0.0,0.0,True
172,antalya_2021,train,2021-08-05T04:00:00.000000000,2021-08-07T15:00:00.000000000,0.0,0.0,True
173,antalya_2021,train,2021-08-05T05:00:00.000000000,2021-08-07T16:00:00.000000000,0.0,0.0,True
174,antalya_2021,train,2021-08-05T06:00:00.000000000,2021-08-07T17:00:00.000000000,0.0,0.0,True
175,antalya_2021,train,2021-08-05T07:00:00.000000000,2021-08-07T18:00:00.000000000,0.0,0.0,True
176,antalya_2021,train,2021-08-05T08:00:00.000000000,2021-08-07T19:00:00.000000000,0.0,0.0,True
177,antalya_2021,train,2021-08-05T09:00:00.000000000,2021-08-07T20:00:00.000000000,0.0,0.0,True
178,antalya_2021,train,2021-08-05T10:00:00.000000000,2021-08-07T21:00:00.000000000,0.0,0.0,True
179,antalya_2021,train,2021-08-05T11:00:00.000000000,2021-08-07T22:00:00.000000000,0.0,0.0,True
180,antalya_2021,train,2021-08-05T12:00:00.000000000,2021-08-07T23:00:00.000000000,0.0,0.0,True
181,arganil_2016,train,2016-08-07T00:00:00.000000000,2016-08-09T11:00:00.000000000,174.43333435058594,573.2000122070312,True
182,arganil_2016,train,2016-08-07T01:00:00.000000000,2016-08-09T12:00:00.000000000,126.66666412353516,496.3999938964844,True
183,arganil_2016,train,2016-08-07T02:00:00.000000000,2016-08-09T13:00:00.000000000,105.91666412353516,496.3999938964844,True
184,arganil_2016,train,2016-08-07T03:00:00.000000000,2016-08-09T14:00:00.000000000,216.7166748046875,1573.0,True
185,arganil_2016,train,2016-08-07T04:00:00.000000000,2016-08-09T15:00:00.000000000,197.625,1573.0,True
186,arganil_2016,train,2016-08-07T05:00:00.000000000,2016-08-09T16:00:00.000000000,174.80833435058594,1573.0,True
187,arganil_2016,train,2016-08-07T06:00:00.000000000,2016-08-09T17:00:00.000000000,187.2916717529297,1573.0,True
188,arganil_2016,train,2016-08-07T07:00:00.000000000,2016-08-09T18:00:00.000000000,210.02500915527344,1573.0,True
189,arganil_2016,train,2016-08-07T08:00:00.000000000,2016-08-09T19:00:00.000000000,210.02500915527344,1573.0,True
190,arganil_2016,train,2016-08-07T09:00:00.000000000,2016-08-09T20:00:00.000000000,210.02500915527344,1573.0,True
191,arganil_2016,train,2016-08-07T10:00:00.000000000,2016-08-09T21:00:00.000000000,188.57501220703125,1573.0,True
192,arganil_2016,train,2016-08-07T11:00:00.000000000,2016-08-09T22:00:00.000000000,188.5749969482422,1573.0,True
193,arganil_2016,train,2016-08-07T12:00:00.000000000,2016-08-09T23:00:00.000000000,188.5749969482422,1573.0,True
194,arganil_2016,train,2016-08-07T13:00:00.000000000,2016-08-10T00:00:00.000000000,188.5749969482422,1573.0,True
195,arganil_2016,train,2016-08-07T14:00:00.000000000,2016-08-10T01:00:00.000000000,264.4583435058594,1573.0,True
196,arganil_2016,train,2016-08-07T15:00:00.000000000,2016-08-10T02:00:00.000000000,144.25833129882812,910.5999755859375,True
197,arganil_2016,train,2016-08-07T16:00:00.000000000,2016-08-10T03:00:00.000000000,127.38333129882812,910.5999755859375,True
198,arganil_2016,train,2016-08-07T17:00:00.000000000,2016-08-10T04:00:00.000000000,133.63333129882812,910.5999755859375,True
199,arganil_2016,train,2016-08-07T18:00:00.000000000,2016-08-10T05:00:00.000000000,345.4083251953125,2691.10009765625,True
200,arganil_2016,train,2016-08-07T19:00:00.000000000,2016-08-10T06:00:00.000000000,683.86669921875,4334.2998046875,True
201,arganil_2016,train,2016-08-07T20:00:00.000000000,2016-08-10T07:00:00.000000000,986.8333129882812,4334.2998046875,True
202,arganil_2016,train,2016-08-07T21:00:00.000000000,2016-08-10T08:00:00.000000000,1241.88330078125,4334.2998046875,True
203,arganil_2016,train,2016-08-07T22:00:00.000000000,2016-08-10T09:00:00.000000000,1367.5166015625,4334.2998046875,True
204,arganil_2016,train,2016-08-07T23:00:00.000000000,2016-08-10T10:00:00.000000000,1523.658203125,4334.2998046875,True
205,arganil_2016,train,2016-08-08T00:00:00.000000000,2016-08-10T11:00:00.000000000,1642.6416015625,4334.2998046875,True
206,arganil_2016,train,2016-08-08T01:00:00.000000000,2016-08-10T12:00:00.000000000,1672.4583740234375,4334.2998046875,True
207,arganil_2016,train,2016-08-08T02:00:00.000000000,2016-08-10T14:00:00.000000000,1615.97509765625,4334.2998046875,True
208,arganil_2016,train,2016-08-08T03:00:00.000000000,2016-08-10T15:00:00.000000000,1610.841796875,4334.2998046875,True
209,arganil_2016,train,2016-08-08T04:00:00.000000000,2016-08-10T17:00:00.000000000,1635.35009765625,4334.2998046875,True
210,arganil_2016,train,2016-08-08T05:00:00.000000000,2016-08-10T18:00:00.000000000,1653.091796875,4334.2998046875,True
211,arganil_2016,train,2016-08-08T06:00:00.000000000,2016-08-10T19:00:00.000000000,1463.5750732421875,4334.2998046875,True
212,arganil_2016,train,2016-08-08T07:00:00.000000000,2016-08-10T20:00:00.000000000,1102.3834228515625,3635.60009765625,True
213,arganil_2016,train,2016-08-08T08:00:00.000000000,2016-08-10T22:00:00.000000000,799.416748046875,3060.60009765625,True
214,arganil_2016,train,2016-08-08T09:00:00.000000000,2016-08-10T23:00:00.000000000,544.3666381835938,1873.699951171875,True
215,arganil_2016,train,2016-08-08T10:00:00.000000000,2016-08-11T00:00:00.000000000,418.7333068847656,1873.699951171875,True
216,arganil_2016,train,2016-08-08T11:00:00.000000000,2016-08-11T03:00:00.000000000,262.5916748046875,1427.800048828125,True
217,arganil_2016,train,2016-08-08T12:00:00.000000000,2016-08-11T04:00:00.000000000,143.60833740234375,416.8999938964844,True
218,arganil_2016,train,2016-08-08T13:00:00.000000000,2016-08-11T05:00:00.000000000,113.79166412353516,416.8999938964844,True
219,arganil_2016,train,2016-08-08T14:00:00.000000000,2016-08-11T06:00:00.000000000,94.39166259765625,416.8999938964844,True
220,arganil_2016,train,2016-08-08T15:00:00.000000000,2016-08-11T07:00:00.000000000,88.64166259765625,416.8999938964844,True
221,arganil_2016,train,2016-08-08T16:00:00.000000000,2016-08-11T08:00:00.000000000,58.733333587646484,416.8999938964844,True
222,arganil_2016,train,2016-08-08T17:00:00.000000000,2016-08-11T09:00:00.000000000,34.74166488647461,416.8999938964844,True
223,arganil_2016,train,2016-08-08T18:00:00.000000000,2016-08-11T10:00:00.000000000,0.0,0.0,True
224,arganil_2016,train,2016-08-08T19:00:00.000000000,2016-08-11T11:00:00.000000000,0.0,0.0,True
225,arganil_2016,train,2016-08-08T20:00:00.000000000,2016-08-11T12:00:00.000000000,0.0,0.0,True
226,arganil_2016,train,2016-08-08T21:00:00.000000000,2016-08-11T13:00:00.000000000,96.70000457763672,1160.4000244140625,True
227,arganil_2016,train,2016-08-08T22:00:00.000000000,2016-08-11T14:00:00.000000000,147.15834045410156,1160.4000244140625,True
228,arganil_2016,train,2016-08-08T23:00:00.000000000,2016-08-11T15:00:00.000000000,184.47499084472656,1160.4000244140625,True
229,arganil_2016,train,2016-08-09T00:00:00.000000000,2016-08-11T16:00:00.000000000,199.1666717529297,1160.4000244140625,True
