event_name,country,ignition_year,start,end,fire_slots,gap_rate,sat_rate,complete_days,peak_frp_mw,legacy_split,pinned,split_v6,split_seed
hr_civljane_2020_0401,HR,2020,2020-03-31,2020-04-10,66,0.0,0.0,10,3155.3,dev_pool_2026,,train,20260825
hr_dalmatia_2017,HR,2017,2017-08-20,2017-08-24,52,0.0,0.0086,5,10818.3,train,,train,20260825
hr_velebit_2017,HR,2017,2017-08-05,2017-08-10,93,0.0,0.0027,6,5687.5,train,,val,20260825
huelva_2020,ES,2020,2020-08-24,2020-09-05,93,0.0449,0.0031,10,22241.9,train,,val,20260825
it_dualchi_2016_0701,IT,2016,2016-06-30,2016-07-10,30,0.0,0.0012,11,8870.7,dev_pool_2026,,train,20260825
it_gratteri_2016_0616,IT,2016,2016-06-15,2016-06-25,15,0.0,0.0,10,1805.9,dev_pool_2026,,train,20260825
it_mompantero_2017_1018,IT,2017,2017-10-17,2017-10-27,88,0.0,0.0102,11,7208.2,dev_pool_2026,,train,20260825
it_san_vito_lo_capo_2020_0829,IT,2020,2020-08-28,2020-09-07,25,0.0,0.0,10,3961.1,dev_pool_2026,,train,20260825
jubrique_2021,ES,2021,2021-09-05,2021-09-17,60,0.0962,0.0337,8,14784.2,train,,train,20260825
kabylie_2021,DZ,2021,2021-08-09,2021-08-18,157,0.0,0.0,10,43870.1,train,,val,20260825
landrillar_2022,ES,2022,2022-07-11,2022-07-24,106,0.0417,0.0207,10,22107.6,train,,train,20260825
lousa_2017,PT,2017,2017-10-15,2017-10-20,17,0.0069,0.1033,5,54621.5,train,,train,20260825
ma_ksar_el_keb_2022,MA,2022,2022-07-13,2022-07-23,104,0.0,0.0172,11,53764.5,train,,train,20260825
mandra_2023,GR,2023,2023-07-14,2023-07-26,110,0.0449,0.0013,4,14568.0,val,,train,20260825
manh_2021,GR,2021,2021-08-03,2021-08-16,43,0.006,0.046,13,11788.3,train,,train,20260825
me_n_a_2017_0707,ME,2017,2017-07-06,2017-07-16,34,0.0,0.0,11,1196.5,dev_pool_2026,,train,20260825
me_n_a_2020_0727,ME,2020,2020-07-26,2020-08-05,31,0.0,0.0,11,1357.6,dev_pool_2026,,train,20260825
mk_n42e22_2024,MK,2024,2024-07-14,2024-07-24,110,0.0492,0.0031,9,5595.8,train,,train,20260825
mk_novaci_2024_0809,MK,2024,2024-08-08,2024-08-18,133,0.0152,0.0,9,5719.6,dev_pool_2026,,train,20260825
monchique_2018,PT,2018,2018-08-03,2018-08-11,124,0.0,0.0376,9,43403.0,train,,train,20260825
morocco_rif_2022,MA,2022,2022-07-13,2022-07-20,39,0.0677,0.0,6,2472.0,train,,val,20260825
mugla_2021,TR,2021,2021-07-29,2021-08-09,207,0.0,0.0048,12,23164.9,train,,val,20260825
north_macedonia_2021,MK,2021,2021-07-30,2021-08-15,30,0.0,0.0,17,3904.4,train,,train,20260825
olympia_2021,GR,2021,2021-08-03,2021-08-16,88,0.1726,0.016,3,27637.5,train,,train,20260825
pedrogao_grande_2017,PT,2017,2017-06-17,2017-06-22,75,0.0,0.0549,5,37158.4,train,,train,20260825
peloponnese_2007,GR,2007,2007-08-24,2007-09-08,179,0.0365,0.0506,7,130687.7,train,,train,20260825
pt_algarve2_2016,PT,2016,2016-09-03,2016-09-08,58,0.1319,0.0127,4,12495.8,train,,val,20260825
pt_algarve_2012,PT,2012,2012-07-18,2012-07-25,78,0.0208,0.0512,7,37908.1,train,,train,20260825
pt_campia_2017_1013,PT,2017,2017-10-12,2017-10-22,45,0.0,0.0407,11,29887.5,dev_pool_2026,,train,20260825
pt_carvoeiro_2017_0717,PT,2017,2017-07-16,2017-07-26,116,0.0,0.0593,10,48555.8,dev_pool_2026,,train,20260825
pt_pinzio_2017_1014,PT,2017,2017-10-13,2017-10-23,19,0.0,0.0154,11,25635.7,dev_pool_2026,,train,20260825
pt_queiriz_2017_1015,PT,2017,2017-10-14,2017-10-24,28,0.0,0.0252,11,39767.9,dev_pool_2026,,train,20260825
pt_raiva_pedorido_e_p_2017_1015,PT,2017,2017-10-14,2017-10-24,20,0.0,0.0788,11,27168.6,dev_pool_2026,,train,20260825
pt_reriz_e_gafanhao_2024_0904,PT,2024,2024-09-03,2024-09-13,74,0.0,0.0004,11,10930.5,dev_pool_2026,,train,20260825
rhodes_2023,GR,2023,2023-07-18,2023-07-31,157,0.0804,0.0018,4,19006.8,val,,train,20260825
sameiro_2022,PT,2022,2022-08-06,2022-08-17,187,0.0972,0.023,5,66971.6,train,,train,20260825
san_trope_2021,FR,2021,2021-08-13,2021-08-25,59,0.0224,0.0096,10,16722.9,train,,train,20260825
sardinia_2021,IT,2021,2021-07-24,2021-07-31,37,0.0,0.013,8,7374.5,train,,train,20260825
sierra_2022,ES,2022,2022-06-12,2022-06-25,31,0.0238,0.0101,12,36259.0,train,,val,20260825
split_2017,HR,2017,2017-07-16,2017-07-24,19,0.0046,0.1053,9,9838.9,val,,train,20260825
tabara_2022,ES,2022,2022-07-14,2022-07-25,71,0.0451,0.0161,5,50463.3,train,,train,20260825
tn_n_a_2017_0808,TN,2017,2017-08-07,2017-08-17,24,0.0,0.0813,11,5609.4,dev_pool_2026,,val,20260825
tn_n_a_2021_0725,TN,2021,2021-07-24,2021-08-03,71,0.0,0.0045,11,5723.6,dev_pool_2026,,train,20260825
valmaior_2024,PT,2024,2024-09-14,2024-09-27,110,0.0952,0.0004,11,48673.1,test,,train,20260825
varnavas_2024,GR,2024,2024-08-11,2024-08-16,21,0.0833,0.0143,5,8150.7,test,,train,20260825
volos_2023,GR,2023,2023-07-24,2023-08-02,42,0.0083,0.0062,7,13911.8,test,,train,20260825
