sample_idx,event_name,split,input_start_utc,target_end_utc,target_mean_frp,target_max_frp
29,monchique_2018,train,2018-08-05T05:00:00.000000000,2018-08-07T16:00:00.000000000,12986.0,21310.5
30,monchique_2018,train,2018-08-05T06:00:00.000000000,2018-08-07T17:00:00.000000000,13558.7080078125,21310.5
31,monchique_2018,train,2018-08-05T07:00:00.000000000,2018-08-07T18:00:00.000000000,14057.8076171875,21310.5
32,monchique_2018,train,2018-08-05T08:00:00.000000000,2018-08-07T19:00:00.000000000,13746.8994140625,21310.5
33,monchique_2018,train,2018-08-05T09:00:00.000000000,2018-08-07T20:00:00.000000000,13304.6591796875,21310.5
34,monchique_2018,train,2018-08-05T10:00:00.000000000,2018-08-07T21:00:00.000000000,13293.6591796875,21310.5
35,monchique_2018,train,2018-08-05T11:00:00.000000000,2018-08-07T22:00:00.000000000,13411.5263671875,21310.5
36,monchique_2018,train,2018-08-05T12:00:00.000000000,2018-08-07T23:00:00.000000000,13161.4501953125,21310.5
37,monchique_2018,train,2018-08-05T13:00:00.000000000,2018-08-08T00:00:00.000000000,12384.3837890625,21310.5
38,monchique_2018,train,2018-08-05T14:00:00.000000000,2018-08-08T01:00:00.000000000,11250.5322265625,21310.5
39,monchique_2018,train,2018-08-05T15:00:00.000000000,2018-08-08T02:00:00.000000000,10251.841796875,21310.5
40,monchique_2018,train,2018-08-05T16:00:00.000000000,2018-08-08T03:00:00.000000000,8885.900390625,21310.5
41,monchique_2018,train,2018-08-05T17:00:00.000000000,2018-08-08T04:00:00.000000000,7272.333984375,17172.099609375
42,monchique_2018,train,2018-08-05T18:00:00.000000000,2018-08-08T05:00:00.000000000,6063.98388671875,15662.5
43,monchique_2018,train,2018-08-05T19:00:00.000000000,2018-08-08T06:00:00.000000000,4856.9248046875,9756.0
44,monchique_2018,train,2018-08-05T20:00:00.000000000,2018-08-08T07:00:00.000000000,4125.85009765625,7871.10009765625
45,monchique_2018,train,2018-08-05T21:00:00.000000000,2018-08-08T08:00:00.000000000,3630.300048828125,7845.89990234375
46,monchique_2018,train,2018-08-05T22:00:00.000000000,2018-08-08T09:00:00.000000000,3042.608642578125,6886.39990234375
47,monchique_2018,train,2018-08-05T23:00:00.000000000,2018-08-08T10:00:00.000000000,2498.208251953125,4753.39990234375
48,monchique_2018,train,2018-08-06T00:00:00.000000000,2018-08-08T11:00:00.000000000,2135.77490234375,4753.39990234375
49,monchique_2018,train,2018-08-06T01:00:00.000000000,2018-08-08T12:00:00.000000000,2013.125,4753.39990234375
50,monchique_2018,train,2018-08-06T02:00:00.000000000,2018-08-08T13:00:00.000000000,2164.574951171875,6329.10009765625
51,monchique_2018,train,2018-08-06T03:00:00.000000000,2018-08-08T14:00:00.000000000,3247.908203125,17753.400390625
52,monchique_2018,train,2018-08-06T04:00:00.000000000,2018-08-08T15:00:00.000000000,5925.275390625,34863.1015625
53,monchique_2018,train,2018-08-06T05:00:00.000000000,2018-08-08T16:00:00.000000000,8808.93359375,36551.6015625
54,monchique_2018,train,2018-08-06T06:00:00.000000000,2018-08-08T17:00:00.000000000,11284.5263671875,36551.6015625
55,monchique_2018,train,2018-08-06T07:00:00.000000000,2018-08-08T18:00:00.000000000,12239.1083984375,36551.6015625
56,monchique_2018,train,2018-08-06T08:00:00.000000000,2018-08-08T19:00:00.000000000,12566.0419921875,36551.6015625
57,monchique_2018,train,2018-08-06T09:00:00.000000000,2018-08-08T20:00:00.000000000,12695.2666015625,36551.6015625
58,monchique_2018,train,2018-08-06T10:00:00.000000000,2018-08-08T21:00:00.000000000,12720.6923828125,36551.6015625
59,monchique_2018,train,2018-08-06T11:00:00.000000000,2018-08-08T22:00:00.000000000,12728.3994140625,36551.6015625
60,monchique_2018,train,2018-08-06T12:00:00.000000000,2018-08-08T23:00:00.000000000,12721.9248046875,36551.6015625
61,monchique_2018,train,2018-08-06T13:00:00.000000000,2018-08-09T00:00:00.000000000,12538.8662109375,36551.6015625
62,monchique_2018,train,2018-08-06T14:00:00.000000000,2018-08-09T01:00:00.000000000,12022.5732421875,36551.6015625
63,monchique_2018,train,2018-08-06T15:00:00.000000000,2018-08-09T02:00:00.000000000,10543.125,36551.6015625
64,monchique_2018,train,2018-08-06T16:00:00.000000000,2018-08-09T03:00:00.000000000,7637.8671875,36551.6015625
65,monchique_2018,train,2018-08-06T17:00:00.000000000,2018-08-09T04:00:00.000000000,4591.89990234375,32379.0
66,monchique_2018,train,2018-08-06T18:00:00.000000000,2018-08-09T05:00:00.000000000,1893.6500244140625,12632.7998046875
67,monchique_2018,train,2018-08-06T19:00:00.000000000,2018-08-09T06:00:00.000000000,840.9166870117188,4906.2998046875
68,monchique_2018,train,2018-08-06T20:00:00.000000000,2018-08-09T07:00:00.000000000,432.058349609375,3475.199951171875
69,monchique_2018,train,2018-08-06T21:00:00.000000000,2018-08-09T08:00:00.000000000,142.4583282470703,1098.699951171875
70,monchique_2018,train,2018-08-06T22:00:00.000000000,2018-08-09T09:00:00.000000000,50.90000534057617,446.1000061035156
71,monchique_2018,train,2018-08-06T23:00:00.000000000,2018-08-09T10:00:00.000000000,13.725001335144043,133.60000610351562
72,monchique_2018,train,2018-08-07T00:00:00.000000000,2018-08-09T11:00:00.000000000,11.133334159851074,133.60000610351562
73,monchique_2018,train,2018-08-07T01:00:00.000000000,2018-08-09T12:00:00.000000000,11.133334159851074,133.60000610351562
74,monchique_2018,train,2018-08-07T02:00:00.000000000,2018-08-09T13:00:00.000000000,6.558332920074463,78.69999694824219
75,monchique_2018,train,2018-08-07T03:00:00.000000000,2018-08-09T14:00:00.000000000,6.558332920074463,78.69999694824219
76,monchique_2018,train,2018-08-07T04:00:00.000000000,2018-08-09T15:00:00.000000000,26.79166603088379,242.8000030517578
77,monchique_2018,train,2018-08-07T05:00:00.000000000,2018-08-09T16:00:00.000000000,26.79166603088379,242.8000030517578
78,monchique_2018,train,2018-08-07T06:00:00.000000000,2018-08-09T17:00:00.000000000,26.79166603088379,242.8000030517578
79,monchique_2018,train,2018-08-07T07:00:00.000000000,2018-08-09T18:00:00.000000000,26.79166603088379,242.8000030517578
80,monchique_2018,train,2018-08-07T08:00:00.000000000,2018-08-09T19:00:00.000000000,26.79166603088379,242.8000030517578
81,monchique_2018,train,2018-08-07T09:00:00.000000000,2018-08-09T20:00:00.000000000,26.79166603088379,242.8000030517578
82,monchique_2018,train,2018-08-07T10:00:00.000000000,2018-08-09T21:00:00.000000000,26.79166603088379,242.8000030517578
83,monchique_2018,train,2018-08-07T11:00:00.000000000,2018-08-09T22:00:00.000000000,26.79166603088379,242.8000030517578
84,monchique_2018,train,2018-08-07T12:00:00.000000000,2018-08-09T23:00:00.000000000,26.79166603088379,242.8000030517578
85,monchique_2018,train,2018-08-07T13:00:00.000000000,2018-08-10T00:00:00.000000000,26.79166603088379,242.8000030517578
86,monchique_2018,train,2018-08-07T14:00:00.000000000,2018-08-10T01:00:00.000000000,20.233333587646484,242.8000030517578
87,monchique_2018,train,2018-08-07T15:00:00.000000000,2018-08-10T02:00:00.000000000,20.233333587646484,242.8000030517578
88,monchique_2018,train,2018-08-07T16:00:00.000000000,2018-08-10T03:00:00.000000000,0.0,0.0
89,monchique_2018,train,2018-08-07T17:00:00.000000000,2018-08-10T04:00:00.000000000,0.0,0.0
90,monchique_2018,train,2018-08-07T18:00:00.000000000,2018-08-10T05:00:00.000000000,0.0,0.0
91,monchique_2018,train,2018-08-07T19:00:00.000000000,2018-08-10T06:00:00.000000000,0.0,0.0
92,monchique_2018,train,2018-08-07T20:00:00.000000000,2018-08-10T07:00:00.000000000,0.0,0.0
93,monchique_2018,train,2018-08-07T21:00:00.000000000,2018-08-10T08:00:00.000000000,0.0,0.0
94,monchique_2018,train,2018-08-07T22:00:00.000000000,2018-08-10T09:00:00.000000000,0.0,0.0
95,monchique_2018,train,2018-08-07T23:00:00.000000000,2018-08-10T10:00:00.000000000,0.0,0.0
96,monchique_2018,train,2018-08-08T00:00:00.000000000,2018-08-10T11:00:00.000000000,0.0,0.0
97,monchique_2018,train,2018-08-08T01:00:00.000000000,2018-08-10T12:00:00.000000000,0.0,0.0
98,monchique_2018,train,2018-08-08T02:00:00.000000000,2018-08-10T13:00:00.000000000,6.883333206176758,82.5999984741211
99,monchique_2018,train,2018-08-08T03:00:00.000000000,2018-08-10T14:00:00.000000000,13.050000190734863,82.5999984741211
100,monchique_2018,train,2018-08-08T04:00:00.000000000,2018-08-10T15:00:00.000000000,13.050000190734863,82.5999984741211
101,monchique_2018,train,2018-08-08T05:00:00.000000000,2018-08-10T16:00:00.000000000,13.050000190734863,82.5999984741211
102,monchique_2018,train,2018-08-08T06:00:00.000000000,2018-08-10T17:00:00.000000000,13.050000190734863,82.5999984741211
103,monchique_2018,train,2018-08-08T07:00:00.000000000,2018-08-10T18:00:00.000000000,13.050000190734863,82.5999984741211
104,monchique_2018,train,2018-08-08T08:00:00.000000000,2018-08-10T19:00:00.000000000,13.050000190734863,82.5999984741211
105,monchique_2018,train,2018-08-08T09:00:00.000000000,2018-08-10T20:00:00.000000000,13.050000190734863,82.5999984741211
106,monchique_2018,train,2018-08-08T10:00:00.000000000,2018-08-10T21:00:00.000000000,13.050000190734863,82.5999984741211
107,monchique_2018,train,2018-08-08T11:00:00.000000000,2018-08-10T22:00:00.000000000,13.050000190734863,82.5999984741211
108,monchique_2018,train,2018-08-08T12:00:00.000000000,2018-08-10T23:00:00.000000000,13.050000190734863,82.5999984741211
109,monchique_2018,train,2018-08-08T13:00:00.000000000,2018-08-11T00:00:00.000000000,13.050000190734863,82.5999984741211
110,monchique_2018,train,2018-08-08T14:00:00.000000000,2018-08-11T01:00:00.000000000,6.166666507720947,74.0
111,monchique_2018,train,2018-08-08T15:00:00.000000000,2018-08-11T02:00:00.000000000,0.0,0.0
112,monchique_2018,train,2018-08-08T16:00:00.000000000,2018-08-11T03:00:00.000000000,0.0,0.0
113,monchique_2018,train,2018-08-08T17:00:00.000000000,2018-08-11T04:00:00.000000000,0.0,0.0
114,monchique_2018,train,2018-08-08T18:00:00.000000000,2018-08-11T05:00:00.000000000,0.0,0.0
115,monchique_2018,train,2018-08-08T19:00:00.000000000,2018-08-11T06:00:00.000000000,0.0,0.0
116,monchique_2018,train,2018-08-08T20:00:00.000000000,2018-08-11T07:00:00.000000000,0.0,0.0
117,monchique_2018,train,2018-08-08T21:00:00.000000000,2018-08-11T08:00:00.000000000,0.0,0.0
118,monchique_2018,train,2018-08-08T22:00:00.000000000,2018-08-11T09:00:00.000000000,0.0,0.0
119,monchique_2018,train,2018-08-08T23:00:00.000000000,2018-08-11T10:00:00.000000000,0.0,0.0
120,monchique_2018,train,2018-08-09T00:00:00.000000000,2018-08-11T11:00:00.000000000,0.0,0.0
121,monchique_2018,train,2018-08-09T01:00:00.000000000,2018-08-11T12:00:00.000000000,0.0,0.0
122,monchique_2018,train,2018-08-09T02:00:00.000000000,2018-08-11T13:00:00.000000000,0.0,0.0
123,monchique_2018,train,2018-08-09T03:00:00.000000000,2018-08-11T14:00:00.000000000,0.0,0.0
124,monchique_2018,train,2018-08-09T04:00:00.000000000,2018-08-11T15:00:00.000000000,0.0,0.0
125,monchique_2018,train,2018-08-09T05:00:00.000000000,2018-08-11T16:00:00.000000000,0.0,0.0
126,monchique_2018,train,2018-08-09T06:00:00.000000000,2018-08-11T17:00:00.000000000,0.0,0.0
127,monchique_2018,train,2018-08-09T07:00:00.000000000,2018-08-11T18:00:00.000000000,0.0,0.0
128,monchique_2018,train,2018-08-09T08:00:00.000000000,2018-08-11T19:00:00.000000000,0.0,0.0
129,monchique_2018,train,2018-08-09T09:00:00.000000000,2018-08-11T20:00:00.000000000,0.0,0.0
130,monchique_2018,train,2018-08-09T10:00:00.000000000,2018-08-11T21:00:00.000000000,0.0,0.0
131,monchique_2018,train,2018-08-09T11:00:00.000000000,2018-08-11T22:00:00.000000000,0.0,0.0
132,monchique_2018,train,2018-08-09T12:00:00.000000000,2018-08-11T23:00:00.000000000,0.0,0.0
133,huelva_2020,train,2020-08-25T00:00:00.000000000,2020-08-28T01:00:00.000000000,10205.1083984375,22081.900390625
134,huelva_2020,train,2020-08-25T01:00:00.000000000,2020-08-28T02:00:00.000000000,9346.1572265625,22081.900390625
135,huelva_2020,train,2020-08-25T02:00:00.000000000,2020-08-28T03:00:00.000000000,8588.525390625,22081.900390625
136,huelva_2020,train,2020-08-25T03:00:00.000000000,2020-08-28T04:00:00.000000000,7574.775390625,22081.900390625
137,huelva_2020,train,2020-08-25T04:00:00.000000000,2020-08-28T05:00:00.000000000,5739.89208984375,20313.099609375
138,huelva_2020,train,2020-08-25T05:00:00.000000000,2020-08-28T06:00:00.000000000,4047.133056640625,13204.599609375
139,huelva_2020,train,2020-08-25T06:00:00.000000000,2020-08-28T07:00:00.000000000,3120.0,13204.599609375
140,huelva_2020,train,2020-08-25T07:00:00.000000000,2020-08-28T08:00:00.000000000,2517.191650390625,13204.599609375
141,huelva_2020,train,2020-08-25T09:00:00.000000000,2020-08-28T09:00:00.000000000,1458.0665283203125,7129.2998046875
142,huelva_2020,train,2020-08-25T11:00:00.000000000,2020-08-28T10:00:00.000000000,929.0167846679688,3654.300048828125
143,huelva_2020,train,2020-08-25T13:00:00.000000000,2020-08-28T11:00:00.000000000,624.49169921875,2429.89990234375
144,huelva_2020,train,2020-08-25T15:00:00.000000000,2020-08-28T12:00:00.000000000,422.0,1506.0999755859375
145,huelva_2020,train,2020-08-25T17:00:00.000000000,2020-08-28T13:00:00.000000000,777.50830078125,5772.2001953125
146,huelva_2020,train,2020-08-25T18:00:00.000000000,2020-08-28T14:00:00.000000000,1930.4833984375,14684.2001953125
147,huelva_2020,train,2020-08-25T19:00:00.000000000,2020-08-28T15:00:00.000000000,3378.225341796875,18023.900390625
148,huelva_2020,train,2020-08-25T21:00:00.000000000,2020-08-28T16:00:00.000000000,4979.466796875,19665.599609375
149,huelva_2020,train,2020-08-25T22:00:00.000000000,2020-08-28T17:00:00.000000000,6322.85009765625,19665.599609375
150,huelva_2020,train,2020-08-26T00:00:00.000000000,2020-08-28T18:00:00.000000000,7490.45068359375,19665.599609375
151,huelva_2020,train,2020-08-26T01:00:00.000000000,2020-08-28T19:00:00.000000000,8480.0,19665.599609375
152,huelva_2020,train,2020-08-26T04:00:00.000000000,2020-08-28T20:00:00.000000000,9404.5673828125,19665.599609375
153,huelva_2020,train,2020-08-26T05:00:00.000000000,2020-08-28T21:00:00.000000000,10506.9580078125,19665.599609375
154,huelva_2020,train,2020-08-26T07:00:00.000000000,2020-08-28T22:00:00.000000000,11323.6328125,19665.599609375
155,huelva_2020,train,2020-08-26T08:00:00.000000000,2020-08-28T23:00:00.000000000,11831.8583984375,19665.599609375
156,huelva_2020,train,2020-08-26T09:00:00.000000000,2020-08-29T00:00:00.000000000,12453.1162109375,19665.599609375
157,huelva_2020,train,2020-08-26T14:00:00.000000000,2020-08-29T01:00:00.000000000,12245.2578125,19665.599609375
158,huelva_2020,train,2020-08-26T15:00:00.000000000,2020-08-29T02:00:00.000000000,11263.359375,19665.599609375
159,huelva_2020,train,2020-08-26T16:00:00.000000000,2020-08-29T03:00:00.000000000,9966.6162109375,19665.599609375
160,huelva_2020,train,2020-08-26T17:00:00.000000000,2020-08-29T04:00:00.000000000,8500.7412109375,16183.900390625
161,huelva_2020,train,2020-08-26T18:00:00.000000000,2020-08-29T05:00:00.000000000,7243.93359375,14011.2001953125
162,huelva_2020,train,2020-08-26T19:00:00.000000000,2020-08-29T06:00:00.000000000,6160.93408203125,13723.7998046875
163,huelva_2020,train,2020-08-26T20:00:00.000000000,2020-08-29T07:00:00.000000000,5292.24169921875,13723.7998046875
164,huelva_2020,train,2020-08-26T21:00:00.000000000,2020-08-29T08:00:00.000000000,4508.90771484375,13723.7998046875
165,huelva_2020,train,2020-08-26T22:00:00.000000000,2020-08-29T09:00:00.000000000,3480.466552734375,10580.7998046875
166,huelva_2020,train,2020-08-26T23:00:00.000000000,2020-08-29T10:00:00.000000000,2849.2666015625,7455.10009765625
167,huelva_2020,train,2020-08-27T00:00:00.000000000,2020-08-29T11:00:00.000000000,2714.291748046875,7455.10009765625
168,huelva_2020,train,2020-08-27T01:00:00.000000000,2020-08-29T12:00:00.000000000,2980.349853515625,10647.7998046875
169,huelva_2020,train,2020-08-27T02:00:00.000000000,2020-08-29T13:00:00.000000000,3889.641845703125,14189.400390625
170,huelva_2020,train,2020-08-27T03:00:00.000000000,2020-08-29T14:00:00.000000000,4847.52490234375,14396.0
171,huelva_2020,train,2020-08-27T04:00:00.000000000,2020-08-29T15:00:00.000000000,6080.34228515625,17256.80078125
172,huelva_2020,train,2020-08-27T05:00:00.000000000,2020-08-29T16:00:00.000000000,7543.783203125,19636.400390625
173,huelva_2020,train,2020-08-27T06:00:00.000000000,2020-08-29T17:00:00.000000000,9305.4248046875,22241.900390625
174,huelva_2020,train,2020-08-27T07:00:00.000000000,2020-08-29T18:00:00.000000000,10994.06640625,22241.900390625
175,huelva_2020,train,2020-08-27T08:00:00.000000000,2020-08-29T19:00:00.000000000,11931.8076171875,22241.900390625
176,huelva_2020,train,2020-08-27T09:00:00.000000000,2020-08-29T20:00:00.000000000,11991.4248046875,22241.900390625
177,huelva_2020,train,2020-08-27T10:00:00.000000000,2020-08-29T21:00:00.000000000,12088.29296875,22241.900390625
178,huelva_2020,train,2020-08-27T11:00:00.000000000,2020-08-29T22:00:00.000000000,11917.8505859375,22241.900390625
179,huelva_2020,train,2020-08-27T12:00:00.000000000,2020-08-29T23:00:00.000000000,11550.9580078125,22241.900390625
180,huelva_2020,train,2020-08-27T13:00:00.000000000,2020-08-30T00:00:00.000000000,10741.0498046875,22241.900390625
181,huelva_2020,train,2020-08-27T14:00:00.000000000,2020-08-30T01:00:00.000000000,9620.0830078125,22241.900390625
182,huelva_2020,train,2020-08-27T15:00:00.000000000,2020-08-30T02:00:00.000000000,8427.1328125,22241.900390625
183,huelva_2020,train,2020-08-27T16:00:00.000000000,2020-08-30T03:00:00.000000000,7027.29931640625,22241.900390625
184,huelva_2020,train,2020-08-27T17:00:00.000000000,2020-08-30T04:00:00.000000000,5401.5419921875,22241.900390625
185,huelva_2020,train,2020-08-27T18:00:00.000000000,2020-08-30T05:00:00.000000000,3636.3505859375,21278.900390625
186,huelva_2020,train,2020-08-27T19:00:00.000000000,2020-08-30T06:00:00.000000000,1903.5084228515625,12747.099609375
187,huelva_2020,train,2020-08-27T20:00:00.000000000,2020-08-30T07:00:00.000000000,877.1748657226562,2634.89990234375
188,huelva_2020,train,2020-08-27T21:00:00.000000000,2020-08-30T08:00:00.000000000,777.9833374023438,2544.89990234375
189,huelva_2020,train,2020-08-27T22:00:00.000000000,2020-08-30T09:00:00.000000000,819.25,3040.10009765625
190,huelva_2020,train,2020-08-27T23:00:00.000000000,2020-08-30T10:00:00.000000000,1571.6832275390625,9990.2998046875
191,huelva_2020,train,2020-08-28T00:00:00.000000000,2020-08-30T11:00:00.000000000,2169.074951171875,9990.2998046875
192,huelva_2020,train,2020-08-28T01:00:00.000000000,2020-08-30T12:00:00.000000000,2633.083251953125,9990.2998046875
193,huelva_2020,train,2020-08-28T02:00:00.000000000,2020-08-30T13:00:00.000000000,3229.6748046875,9990.2998046875
194,huelva_2020,train,2020-08-28T03:00:00.000000000,2020-08-30T14:00:00.000000000,4271.58349609375,12583.5
195,huelva_2020,train,2020-08-28T04:00:00.000000000,2020-08-30T15:00:00.000000000,4961.091796875,12583.5
196,huelva_2020,train,2020-08-28T05:00:00.000000000,2020-08-30T16:00:00.000000000,5730.33349609375,12583.5
197,huelva_2020,train,2020-08-28T06:00:00.000000000,2020-08-30T17:00:00.000000000,6582.44189453125,12583.5
198,huelva_2020,train,2020-08-28T07:00:00.000000000,2020-08-30T18:00:00.000000000,6929.533203125,12583.5
199,huelva_2020,train,2020-08-28T08:00:00.000000000,2020-08-30T19:00:00.000000000,7180.82470703125,12583.5
200,huelva_2020,train,2020-08-28T09:00:00.000000000,2020-08-30T20:00:00.000000000,7311.599609375,12583.5
201,huelva_2020,train,2020-08-28T10:00:00.000000000,2020-08-30T21:00:00.000000000,7128.69970703125,12583.5
202,huelva_2020,train,2020-08-28T11:00:00.000000000,2020-08-30T22:00:00.000000000,6344.62451171875,12583.5
203,huelva_2020,train,2020-08-28T12:00:00.000000000,2020-08-30T23:00:00.000000000,5760.58349609375,12583.5
204,huelva_2020,train,2020-08-28T13:00:00.000000000,2020-08-31T00:00:00.000000000,5229.35009765625,12583.5
205,huelva_2020,train,2020-08-28T14:00:00.000000000,2020-08-31T01:00:00.000000000,4594.283203125,12583.5
206,huelva_2020,train,2020-08-28T15:00:00.000000000,2020-08-31T02:00:00.000000000,3573.116943359375,11284.900390625
207,huelva_2020,train,2020-08-28T16:00:00.000000000,2020-08-31T03:00:00.000000000,2862.592041015625,11284.900390625
208,huelva_2020,train,2020-08-28T17:00:00.000000000,2020-08-31T04:00:00.000000000,2093.583251953125,11284.900390625
209,huelva_2020,train,2020-08-28T18:00:00.000000000,2020-08-31T05:00:00.000000000,1161.9166259765625,4649.89990234375
210,huelva_2020,train,2020-08-28T19:00:00.000000000,2020-08-31T06:00:00.000000000,774.4249877929688,3446.60009765625
211,huelva_2020,train,2020-08-28T20:00:00.000000000,2020-08-31T07:00:00.000000000,487.2083435058594,3013.89990234375
212,huelva_2020,train,2020-08-28T21:00:00.000000000,2020-08-31T08:00:00.000000000,239.3583221435547,845.2999877929688
213,huelva_2020,train,2020-08-28T22:00:00.000000000,2020-08-31T09:00:00.000000000,168.91665649414062,581.4000244140625
214,huelva_2020,train,2020-08-28T23:00:00.000000000,2020-08-31T10:00:00.000000000,120.46666717529297,329.5
215,huelva_2020,train,2020-08-29T00:00:00.000000000,2020-08-31T11:00:00.000000000,100.7583236694336,329.5
216,huelva_2020,train,2020-08-29T01:00:00.000000000,2020-08-31T12:00:00.000000000,90.57500457763672,329.5
217,huelva_2020,train,2020-08-29T02:00:00.000000000,2020-08-31T13:00:00.000000000,67.56666564941406,329.5
218,huelva_2020,train,2020-08-29T03:00:00.000000000,2020-08-31T14:00:00.000000000,69.0999984741211,347.8999938964844
219,huelva_2020,train,2020-08-29T04:00:00.000000000,2020-08-31T15:00:00.000000000,64.66666412353516,347.8999938964844
220,huelva_2020,train,2020-08-29T05:00:00.000000000,2020-08-31T16:00:00.000000000,53.82500076293945,347.8999938964844
221,huelva_2020,train,2020-08-29T06:00:00.000000000,2020-08-31T17:00:00.000000000,45.08333206176758,347.8999938964844
222,huelva_2020,train,2020-08-29T07:00:00.000000000,2020-08-31T18:00:00.000000000,45.08333206176758,347.8999938964844
223,huelva_2020,train,2020-08-29T08:00:00.000000000,2020-08-31T19:00:00.000000000,45.08333206176758,347.8999938964844
224,huelva_2020,train,2020-08-29T09:00:00.000000000,2020-08-31T20:00:00.000000000,41.77499771118164,347.8999938964844
225,huelva_2020,train,2020-08-29T10:00:00.000000000,2020-08-31T21:00:00.000000000,41.77499771118164,347.8999938964844
226,huelva_2020,train,2020-08-29T11:00:00.000000000,2020-08-31T22:00:00.000000000,41.77499771118164,347.8999938964844
227,huelva_2020,train,2020-08-29T12:00:00.000000000,2020-08-31T23:00:00.000000000,41.77499771118164,347.8999938964844
228,huelva_2020,train,2020-08-29T13:00:00.000000000,2020-09-01T00:00:00.000000000,41.77499771118164,347.8999938964844
229,huelva_2020,train,2020-08-29T14:00:00.000000000,2020-09-01T01:00:00.000000000,41.77499771118164,347.8999938964844
230,huelva_2020,train,2020-08-29T15:00:00.000000000,2020-09-01T02:00:00.000000000,12.783332824707031,153.39999389648438
231,huelva_2020,train,2020-08-29T16:00:00.000000000,2020-09-01T03:00:00.000000000,0.0,0.0
232,huelva_2020,train,2020-08-29T17:00:00.000000000,2020-09-01T04:00:00.000000000,0.0,0.0
233,huelva_2020,train,2020-08-29T18:00:00.000000000,2020-09-01T05:00:00.000000000,0.0,0.0
234,huelva_2020,train,2020-08-29T19:00:00.000000000,2020-09-01T06:00:00.000000000,0.0,0.0
235,huelva_2020,train,2020-08-29T20:00:00.000000000,2020-09-01T07:00:00.000000000,0.0,0.0
236,huelva_2020,train,2020-08-29T21:00:00.000000000,2020-09-01T08:00:00.000000000,0.0,0.0
